symbol,date,open,high,low,close,adj close,volume
NVDA,2011-01-03,3.88,3.9925,3.875,3.955,3.6281,81744800
NVDA,2011-01-04,3.9625,3.98,3.855,3.9425,3.616634,65138400
NVDA,2011-01-05,4.015,4.25,3.975,4.245,3.89413,142821600
NVDA,2011-01-06,4.355,4.835,4.3425,4.8325,4.433071,349331200
NVDA,2011-01-07,4.7775,4.9825,4.67,4.9675,4.556913,257998400
NVDA,2011-01-10,4.8775,5.1675,4.84,5.1575,4.731209,175034800
NVDA,2011-01-11,5.2275,5.2775,4.9675,5.0775,4.657821,271108800
NVDA,2011-01-12,5.08,5.8425,5.0625,5.8375,5.355003,343189600
NVDA,2011-01-13,5.775,5.96,5.595,5.8475,5.364176,269519200
NVDA,2011-01-14,5.7475,5.995,5.7125,5.8975,5.410045,159535200
NVDA,2011-01-18,5.8175,5.8575,5.6175,5.76,5.28391,181334800
NVDA,2011-01-19,5.7625,5.9,5.59,5.6025,5.139427,119789600
NVDA,2011-01-20,5.5475,5.64,5.4475,5.6075,5.144011,111140800
NVDA,2011-01-21,5.6675,5.7475,5.545,5.555,5.095852,73924400
NVDA,2011-01-24,5.81,6.2625,5.745,6.1825,5.671487,205690000
NVDA,2011-01-25,6.155,6.22,5.9525,5.9925,5.497191,108685600
NVDA,2011-01-26,6.055,6.25,6.0125,6.135,5.627913,107466000
NVDA,2011-01-27,6.2225,6.2375,6.0,6.1175,5.611858,65739600
NVDA,2011-01-28,6.1325,6.235,5.8,5.94,5.449031,109479600
NVDA,2011-01-31,5.95,6.0625,5.8525,5.98,5.485724,75016000
NVDA,2011-02-01,6.0325,6.1625,5.9925,6.1175,5.611858,65410400
NVDA,2011-02-02,6.0825,6.5425,6.0825,6.395,5.866422,160661600
NVDA,2011-02-03,6.405,6.405,6.1375,6.275,5.75634,103077600
NVDA,2011-02-04,6.3625,6.4675,6.3375,6.4175,5.887063,87290000
NVDA,2011-02-07,6.33,6.3575,6.1275,6.15,5.641673,93423600
NVDA,2011-02-08,6.1575,6.1975,5.94,5.9675,5.474259,107658400
NVDA,2011-02-09,5.99,6.05,5.715,5.8225,5.341241,127752000
NVDA,2011-02-10,5.6925,5.8025,5.65,5.705,5.233455,104235200
NVDA,2011-02-11,5.685,6.0525,5.5925,5.8675,5.382522,135927600
NVDA,2011-02-14,5.9375,6.125,5.755,5.7775,5.299963,128782800
NVDA,2011-02-15,5.7875,5.8075,5.6125,5.6375,5.171532,88698000
NVDA,2011-02-16,5.7125,5.9275,5.6925,5.845,5.361882,131836400
NVDA,2011-02-17,5.68,6.5025,5.6525,6.42,5.889358,347009600
NVDA,2011-02-18,6.385,6.4875,6.3075,6.4075,5.87789,139441200
NVDA,2011-02-22,6.1975,6.215,5.7825,5.8025,5.322895,139664800
NVDA,2011-02-23,5.8025,5.8575,5.445,5.5275,5.070627,149160400
NVDA,2011-02-24,5.555,5.76,5.515,5.6625,5.194466,124612000
NVDA,2011-02-25,5.815,5.875,5.735,5.78,5.302255,77565200
NVDA,2011-02-28,5.875,5.8775,5.535,5.665,5.19676,90369600
NVDA,2011-03-01,5.675,5.7475,5.4125,5.4125,4.965129,98844800
NVDA,2011-03-02,5.405,5.5075,5.0625,5.1875,4.758729,171814000
NVDA,2011-03-03,5.3075,5.3375,5.06,5.2175,4.78625,159370400
NVDA,2011-03-04,5.2225,5.275,5.1325,5.19,4.761022,95976000
NVDA,2011-03-07,5.2275,5.245,4.9875,5.1175,4.694514,101914000
NVDA,2011-03-08,5.1725,5.2,4.78,4.8875,4.483523,194718400
NVDA,2011-03-09,4.8725,4.92,4.7425,4.785,4.389495,131897600
NVDA,2011-03-10,4.675,4.71,4.475,4.48,4.109708,172273600
NVDA,2011-03-11,4.5175,4.6375,4.415,4.5125,4.139519,148683200
NVDA,2011-03-14,4.5475,4.6625,4.475,4.55,4.173921,100336000
NVDA,2011-03-15,4.3275,4.49,4.2525,4.415,4.050079,125628000
NVDA,2011-03-16,4.375,4.5875,4.325,4.3825,4.020265,147652000
NVDA,2011-03-17,4.5,4.5075,4.3,4.465,4.095945,123851600
NVDA,2011-03-18,4.535,4.55,4.4,4.405,4.040906,88696000
NVDA,2011-03-21,4.5,4.545,4.395,4.44,4.073014,75183200
NVDA,2011-03-22,4.4275,4.47,4.3425,4.3625,4.001919,71833200
NVDA,2011-03-23,4.355,4.465,4.26,4.4525,4.084481,78239600
NVDA,2011-03-24,4.5475,4.8625,4.5375,4.8075,4.410137,178059200
NVDA,2011-03-25,4.85,4.8625,4.65,4.6575,4.272535,119639200
NVDA,2011-03-28,4.7675,4.91,4.725,4.83,4.430777,120428400
NVDA,2011-03-29,4.83,4.8475,4.7275,4.7925,4.396378,71576400
NVDA,2011-03-30,4.83,4.85,4.5525,4.6125,4.231254,117632000
NVDA,2011-03-31,4.62,4.67,4.53,4.615,4.233547,65511200
NVDA,2011-04-01,4.675,4.68,4.4875,4.55,4.173921,85007200
NVDA,2011-04-04,4.55,4.5625,4.355,4.3875,4.024853,92432800
NVDA,2011-04-05,4.4525,4.4875,4.385,4.395,4.031732,82107600
NVDA,2011-04-06,4.4275,4.4325,4.3275,4.365,4.004212,85698400
NVDA,2011-04-07,4.375,4.5525,4.3575,4.525,4.150986,102120800
NVDA,2011-04-08,4.56,4.56,4.375,4.3875,4.024853,74655200
NVDA,2011-04-11,4.405,4.4275,4.2825,4.33,3.972106,54620800
NVDA,2011-04-12,4.2875,4.3725,4.2075,4.3425,3.983571,84075600
NVDA,2011-04-13,4.3875,4.4675,4.3325,4.44,4.073014,74958800
NVDA,2011-04-14,4.4,4.63,4.375,4.6275,4.245015,125470400
NVDA,2011-04-15,4.5925,4.735,4.57,4.6775,4.290881,96972000
NVDA,2011-04-18,4.5675,4.5975,4.45,4.5225,4.148693,74358400
NVDA,2011-04-19,4.525,4.5425,4.3825,4.505,4.132642,65986000
NVDA,2011-04-20,4.67,4.7375,4.5675,4.6425,4.258775,65051600
NVDA,2011-04-21,4.6925,4.7225,4.62,4.63,4.247308,42130000
NVDA,2011-04-25,4.65,4.78,4.6475,4.7025,4.313815,61961200
NVDA,2011-04-26,4.7425,4.8725,4.695,4.825,4.426191,67600000
NVDA,2011-04-27,4.85,4.85,4.725,4.825,4.426191,45000400
NVDA,2011-04-28,4.825,4.975,4.77,4.8775,4.47435,68400000
NVDA,2011-04-29,4.91,5.11,4.9025,5.0,4.586725,83600000
NVDA,2011-05-02,5.105,5.1075,4.9075,4.9325,4.524805,61382400
NVDA,2011-05-03,4.875,4.89,4.6375,4.6975,4.309229,80800000
NVDA,2011-05-04,4.7125,4.765,4.575,4.6625,4.277122,63935600
NVDA,2011-05-05,4.625,4.72,4.5625,4.665,4.279417,54400000
NVDA,2011-05-06,4.7625,4.875,4.725,4.83,4.430777,84108000
