symbol,date,open,high,low,close,adj close,volume
NVDA,2016-01-04,8.0725,8.145,8.01,8.0925,7.900276,35807600
NVDA,2016-01-05,8.245,8.36,8.125,8.2225,8.027189,49027200
NVDA,2016-01-06,8.0875,8.125,7.79,7.8825,7.695265,44934400
NVDA,2016-01-07,7.685,7.7375,7.47,7.57,7.390189,64530400
NVDA,2016-01-08,7.6675,7.675,7.3925,7.4075,7.231547,39847200
NVDA,2016-01-11,7.415,7.4725,7.2875,7.42,7.243751,40937200
NVDA,2016-01-12,7.5525,7.655,7.4925,7.545,7.365781,46935600
NVDA,2016-01-13,7.6025,7.6525,7.3075,7.315,7.141244,48167200
NVDA,2016-01-14,7.165,7.25,6.955,7.1675,6.99725,60023600
NVDA,2016-01-15,6.88,6.9625,6.66,6.7775,6.616513,84145200
NVDA,2016-01-19,6.9175,7.1125,6.805,6.8325,6.670207,45714000
NVDA,2016-01-20,6.7025,6.9575,6.6125,6.87,6.706816,48118000
NVDA,2016-01-21,6.945,7.0575,6.8025,6.95,6.784915,48145600
NVDA,2016-01-22,7.0825,7.16,7.0675,7.1125,6.943556,25799600
NVDA,2016-01-25,7.11,7.1925,7.09,7.105,6.936234,27072800
NVDA,2016-01-26,7.12,7.205,7.0475,7.175,7.00457,22794400
NVDA,2016-01-27,7.165,7.1875,6.955,7.09,6.92159,23170000
NVDA,2016-01-28,7.1475,7.1725,6.875,7.0125,6.845928,27677600
NVDA,2016-01-29,7.0725,7.3375,7.045,7.3225,7.148566,31050400
NVDA,2016-02-01,7.315,7.3625,7.2525,7.325,7.151007,28988400
NVDA,2016-02-02,7.25,7.2875,6.965,7.015,6.848371,34190800
NVDA,2016-02-03,7.07,7.1125,6.8875,7.05,6.882539,32677200
NVDA,2016-02-04,7.06,7.2125,6.9825,7.0525,6.88498,34814000
NVDA,2016-02-05,7.005,7.0825,6.5875,6.6075,6.450551,60042800
NVDA,2016-02-08,6.5075,6.54,6.2125,6.305,6.155235,60885200
NVDA,2016-02-09,6.23,6.6375,6.2,6.3725,6.221132,42537200
NVDA,2016-02-10,6.4125,6.5975,6.3225,6.3575,6.206488,33580000
NVDA,2016-02-11,6.195,6.39,6.195,6.325,6.174761,34014400
NVDA,2016-02-12,6.425,6.445,6.1875,6.4325,6.279707,34081600
NVDA,2016-02-16,6.525,6.7575,6.505,6.7475,6.587225,48535200
NVDA,2016-02-17,6.8325,6.98,6.805,6.915,6.750746,77146800
NVDA,2016-02-18,7.4825,7.745,7.475,7.51,7.331614,106866000
NVDA,2016-02-19,7.47,7.6775,7.4125,7.61,7.429237,52562800
NVDA,2016-02-22,7.72,7.9675,7.705,7.88,7.692826,44966800
NVDA,2016-02-23,7.8175,7.975,7.78,7.9,7.71235,36938000
NVDA,2016-02-24,7.8675,7.9675,7.65,7.955,7.766043,33685200
NVDA,2016-02-25,7.985,8.0125,7.83,7.9725,7.783127,34961600
NVDA,2016-02-26,8.01,8.03,7.84,7.92,7.731873,36196400
NVDA,2016-02-29,7.9025,8.005,7.835,7.84,7.68166,32334400
NVDA,2016-03-01,7.86,8.1875,7.8475,8.1875,8.022141,34870000
