symbol,date,open,high,low,close,adj close,volume
NVDA,2010-01-04,4.6275,4.655,4.5275,4.6225,4.240429,80020400
NVDA,2010-01-05,4.605,4.74,4.605,4.69,4.30235,72864800
NVDA,2010-01-06,4.6875,4.73,4.6425,4.72,4.32987,64916800
NVDA,2010-01-07,4.695,4.715,4.5925,4.6275,4.245015,54779200
NVDA,2010-01-08,4.59,4.67,4.5625,4.6375,4.254189,47816800
NVDA,2010-01-11,4.6625,4.6825,4.5075,4.5725,4.194561,55661200
NVDA,2010-01-12,4.505,4.5225,4.3225,4.4175,4.052372,62743200
NVDA,2010-01-13,4.4475,4.4925,4.275,4.4775,4.107413,50886800
NVDA,2010-01-14,4.4225,4.455,4.3325,4.4075,4.0432,60852400
NVDA,2010-01-15,4.375,4.4125,4.22,4.2775,3.923946,81819200
NVDA,2010-01-19,4.245,4.385,4.2325,4.3575,3.997332,54532800
NVDA,2010-01-20,4.3025,4.3575,4.245,4.34,3.981277,71972800
NVDA,2010-01-21,4.3375,4.415,4.2225,4.2625,3.910183,60863200
NVDA,2010-01-22,4.2125,4.29,4.09,4.115,3.774876,106791600
NVDA,2010-01-25,4.1825,4.265,4.1525,4.185,3.83909,64367600
NVDA,2010-01-26,4.165,4.1925,4.05,4.0525,3.717541,71463600
NVDA,2010-01-27,4.05,4.1775,4.005,4.1625,3.818449,81250400
NVDA,2010-01-28,4.195,4.21,3.965,4.0225,3.690021,68776400
NVDA,2010-01-29,4.0675,4.1125,3.7875,3.8475,3.529486,77470000
NVDA,2010-02-01,3.8625,4.15,3.83,4.1425,3.800102,94983200
NVDA,2010-02-02,4.1275,4.2375,4.115,4.185,3.83909,84981200
NVDA,2010-02-03,4.1475,4.2375,4.1275,4.22,3.871197,56229600
NVDA,2010-02-04,4.1825,4.1825,3.93,3.975,3.646447,78348000
NVDA,2010-02-05,3.97,4.065,3.9,4.055,3.719835,60485600
NVDA,2010-02-08,4.0425,4.145,3.9675,4.0475,3.712955,44516000
NVDA,2010-02-09,4.1125,4.1325,3.975,4.015,3.683141,93014400
NVDA,2010-02-10,4.04,4.13,4.0125,4.0925,3.754236,53582800
NVDA,2010-02-11,4.1575,4.325,4.1275,4.28,3.926238,69598000
NVDA,2010-02-12,4.25,4.425,4.2025,4.3375,3.978986,78021200
NVDA,2010-02-16,4.395,4.435,4.3425,4.4175,4.052372,45702400
NVDA,2010-02-17,4.4725,4.475,4.3325,4.46,4.09136,87656000
NVDA,2010-02-18,4.215,4.2375,4.0525,4.1675,3.823036,151550800
NVDA,2010-02-19,4.15,4.195,4.125,4.145,3.802396,51054800
NVDA,2010-02-22,4.1625,4.225,4.125,4.1525,3.809277,45808400
NVDA,2010-02-23,4.165,4.1825,4.01,4.0525,3.717541,48976400
NVDA,2010-02-24,4.0875,4.1775,4.075,4.1375,3.795516,44586800
NVDA,2010-02-25,4.0425,4.11,3.94,4.1,3.761117,57697200
NVDA,2010-02-26,4.08,4.11,4.025,4.05,3.715249,39339600
NVDA,2010-03-01,4.0525,4.2325,4.02,4.2125,3.864318,55586800
NVDA,2010-03-02,4.25,4.3025,4.18,4.21,3.862023,53864800
NVDA,2010-03-03,4.235,4.2575,4.1225,4.1575,3.813863,39930000
NVDA,2010-03-04,4.175,4.2075,4.1125,4.165,3.820743,55739600
NVDA,2010-03-05,4.135,4.3225,4.135,4.2925,3.937705,63283200
NVDA,2010-03-08,4.295,4.3075,4.2125,4.23,3.880371,43931200
NVDA,2010-03-09,4.2725,4.43,4.27,4.3875,4.024853,83083200
NVDA,2010-03-10,4.375,4.445,4.3725,4.3975,4.034026,41852000
NVDA,2010-03-11,4.3625,4.3775,4.28,4.2975,3.942291,54066000
NVDA,2010-03-12,4.345,4.3575,4.29,4.3125,3.956052,52035200
NVDA,2010-03-15,4.3075,4.35,4.25,4.29,3.935411,35890400
NVDA,2010-03-16,4.2875,4.465,4.285,4.44,4.073014,66498800
NVDA,2010-03-17,4.465,4.585,4.465,4.525,4.150986,65116800
NVDA,2010-03-18,4.5325,4.5325,4.325,4.365,4.004212,74096400
NVDA,2010-03-19,4.43,4.4425,4.2575,4.3125,3.956052,58461200
NVDA,2010-03-22,4.2575,4.4,4.2575,4.3825,4.020265,43533600
NVDA,2010-03-23,4.415,4.495,4.385,4.4725,4.102826,49361200
NVDA,2010-03-24,4.435,4.4475,4.315,4.3225,3.965225,43625200
NVDA,2010-03-25,4.385,4.4125,4.325,4.335,3.976692,49518400
NVDA,2010-03-26,4.3725,4.4175,4.3,4.335,3.976692,34467600
NVDA,2010-03-29,4.3625,4.4,4.3025,4.39,4.027144,39445600
NVDA,2010-03-30,4.44,4.4625,4.3325,4.4075,4.0432,32410400
NVDA,2010-03-31,4.39,4.41,4.3275,4.35,3.990452,38984000
NVDA,2010-04-01,4.37,4.42,4.26,4.305,3.949172,33966400
NVDA,2010-04-05,4.3325,4.3775,4.3275,4.37,4.008799,41363600
NVDA,2010-04-06,4.315,4.325,4.1875,4.2625,3.910183,80926000
NVDA,2010-04-07,4.235,4.3625,4.2,4.29,3.935411,81746800
NVDA,2010-04-08,4.2625,4.295,4.1975,4.22,3.871197,103760000
NVDA,2010-04-09,4.21,4.2625,4.1875,4.2475,3.896424,81757200
NVDA,2010-04-12,4.2525,4.3425,4.245,4.325,3.967517,54646000
NVDA,2010-04-13,4.3425,4.43,4.325,4.415,4.050079,64869600
NVDA,2010-04-14,4.51,4.5325,4.4,4.47,4.100532,90072000
NVDA,2010-04-15,4.485,4.53,4.44,4.5025,4.130348,95759600
NVDA,2010-04-16,4.32,4.3375,4.17,4.265,3.912478,191773600
NVDA,2010-04-19,4.2325,4.2575,4.1025,4.245,3.89413,109449200
NVDA,2010-04-20,4.275,4.32,4.205,4.26,3.907892,67818800
NVDA,2010-04-21,4.2825,4.2875,4.1,4.15,3.806983,89590800
NVDA,2010-04-22,4.0825,4.18,4.025,4.1675,3.823036,65693200
NVDA,2010-04-23,4.155,4.165,4.0375,4.11,3.770288,75291600
NVDA,2010-04-26,4.115,4.2,4.1075,4.15,3.806983,49109200
NVDA,2010-04-27,4.12,4.1625,4.02,4.0325,3.699195,60670400
NVDA,2010-04-28,4.03,4.0975,3.9575,4.04,3.706074,67216400
NVDA,2010-04-29,4.0525,4.1675,3.9925,4.1625,3.818449,98712800
NVDA,2010-04-30,4.1125,4.12,3.925,3.9275,3.602873,106804800
NVDA,2010-05-03,3.9475,3.97,3.825,3.885,3.563886,107897200
NVDA,2010-05-04,3.825,3.8325,3.6325,3.6875,3.382711,131137600
NVDA,2010-05-05,3.6125,3.7175,3.58,3.625,3.325377,133084000
NVDA,2010-05-06,3.6,3.675,3.26,3.55,3.256575,100288800
NVDA,2010-05-07,3.5825,3.5825,3.365,3.49,3.201535,115371200
NVDA,2010-05-10,3.7,3.745,3.6,3.64,3.339137,97915600
NVDA,2010-05-11,3.605,3.6725,3.5725,3.6,3.302443,82912400
NVDA,2010-05-12,3.625,3.69,3.6025,3.67,3.366657,90123600
NVDA,2010-05-13,3.655,3.8225,3.6275,3.6625,3.359777,125200000
NVDA,2010-05-14,3.415,3.425,3.15,3.24,2.972199,249306800
NVDA,2010-05-17,3.245,3.2875,3.145,3.2475,2.979079,85606000
NVDA,2010-05-18,3.275,3.295,3.1225,3.14,2.880464,67411200
