Date,Open,High,Low,Close,Adj Close,Volume
1999-01-22,0.437500,0.488281,0.388021,0.410156,0.376255,271468800
1999-01-25,0.442708,0.458333,0.410156,0.453125,0.415672,51048000
1999-01-26,0.458333,0.467448,0.411458,0.417969,0.383422,34320000
1999-01-27,0.419271,0.429688,0.395833,0.416667,0.382227,24436800
1999-01-28,0.416667,0.419271,0.412760,0.415365,0.381033,22752000
1999-01-29,0.415365,0.416667,0.395833,0.395833,0.363116,24403200
1999-02-01,0.395833,0.406250,0.395833,0.403646,0.370283,15470400
1999-02-02,0.395833,0.406250,0.360677,0.372396,0.341616,26409600
1999-02-03,0.367188,0.385417,0.364583,0.380208,0.348782,7512000
1999-02-04,0.385417,0.411458,0.380208,0.401042,0.367894,18192000
1999-02-05,0.407552,0.416667,0.397135,0.412760,0.378643,13684800
1999-02-08,0.415365,0.416667,0.398438,0.398438,0.365505,15408000
1999-02-09,0.406250,0.408854,0.377604,0.382813,0.351172,8697600
1999-02-10,0.382813,0.393229,0.372396,0.378906,0.347588,14822400
1999-02-11,0.380208,0.427083,0.380208,0.411458,0.377449,13224000
1999-02-12,0.416667,0.437500,0.416667,0.434896,0.398950,10972800
1999-02-16,0.442708,0.460938,0.393229,0.437500,0.401339,21100800
1999-02-17,0.427083,0.432292,0.406250,0.414063,0.379839,6772800
1999-02-18,0.427083,0.432292,0.408854,0.420573,0.385811,7070400
1999-02-19,0.416667,0.442708,0.411458,0.434896,0.398950,7536000
1999-02-22,0.442708,0.447917,0.414063,0.437500,0.401339,20524800
1999-02-23,0.447917,0.467448,0.421875,0.458333,0.420450,13809600
1999-02-24,0.526042,0.546875,0.483073,0.494792,0.453895,61276800
1999-02-25,0.515625,0.531250,0.471354,0.479167,0.439562,14913600
1999-02-26,0.484375,0.500000,0.453125,0.457031,0.419255,17260800
1999-03-01,0.468750,0.479167,0.437500,0.459635,0.421644,9216000
1999-03-02,0.458333,0.460938,0.447917,0.455729,0.418061,5524800
1999-03-03,0.458333,0.458333,0.421875,0.424479,0.389394,6139200
1999-03-04,0.445313,0.447917,0.411458,0.415365,0.381033,5736000
1999-03-05,0.419271,0.440104,0.419271,0.438802,0.402533,7876800
1999-03-08,0.427083,0.458333,0.419271,0.445313,0.408506,7588800
1999-03-09,0.444010,0.466146,0.444010,0.459635,0.421644,14318400
1999-03-10,0.466146,0.466146,0.445313,0.451823,0.414478,23534400
1999-03-11,0.444010,0.451823,0.432292,0.432292,0.396561,5428800
1999-03-12,0.434896,0.434896,0.416667,0.424479,0.389394,9076800
1999-03-15,0.434896,0.447917,0.432292,0.442708,0.406116,10881600
1999-03-16,0.445313,0.450521,0.424479,0.428385,0.392977,7915200
1999-03-17,0.432292,0.440104,0.420573,0.430990,0.395367,5136000
1999-03-18,0.432292,0.442708,0.421875,0.436198,0.400144,4632000
1999-03-19,0.434896,0.450521,0.434896,0.437500,0.401339,10531200
1999-03-22,0.446615,0.447917,0.424479,0.424479,0.389394,3667200
1999-03-23,0.427083,0.427083,0.390625,0.398438,0.365505,16396800
1999-03-24,0.395833,0.398438,0.380208,0.395833,0.363116,6086400
1999-03-25,0.394531,0.416667,0.393229,0.401042,0.367894,4032000
1999-03-26,0.406250,0.437500,0.406250,0.436198,0.400144,8827200
1999-03-29,0.449219,0.459635,0.441406,0.449219,0.412089,6595200
1999-03-30,0.450521,0.454427,0.408854,0.411458,0.377449,6950400
1999-03-31,0.424479,0.445313,0.404948,0.440104,0.403727,15360000
1999-04-01,0.440104,0.442708,0.419271,0.427083,0.391783,3043200
1999-04-05,0.421875,0.432292,0.411458,0.414063,0.379839,9864000
1999-04-06,0.417969,0.419271,0.395833,0.403646,0.370283,6969600
1999-04-07,0.406250,0.440104,0.403646,0.437500,0.401339,8928000
1999-04-08,0.440104,0.458333,0.434896,0.445313,0.408506,13012800
1999-04-09,0.447917,0.447917,0.434896,0.437500,0.401339,4862400
1999-04-12,0.432292,0.432292,0.411458,0.419271,0.384616,3331200
1999-04-13,0.427083,0.427083,0.395833,0.402344,0.369088,3614400
1999-04-14,0.401042,0.410156,0.390625,0.390625,0.358338,4828800
1999-04-15,0.401042,0.401042,0.390625,0.401042,0.367894,3585600
1999-04-16,0.398438,0.420573,0.398438,0.414063,0.379839,3892800
1999-04-19,0.419271,0.419271,0.390625,0.395833,0.363116,3129600
1999-04-20,0.395833,0.411458,0.384115,0.388021,0.355949,6768000
1999-04-21,0.388021,0.395833,0.385417,0.394531,0.361921,3748800
1999-04-22,0.395833,0.395833,0.373698,0.377604,0.346393,22718400
1999-04-23,0.376302,0.377604,0.356771,0.359375,0.329671,12604800
1999-04-26,0.359375,0.364583,0.333333,0.341146,0.312949,12350400
1999-04-27,0.348958,0.380208,0.343750,0.377604,0.346393,22694400
1999-04-28,0.380208,0.380208,0.363281,0.375000,0.344004,12009600
1999-04-29,0.376302,0.377604,0.367188,0.375000,0.344004,4814400
1999-04-30,0.378906,0.395833,0.376302,0.380208,0.348782,9931200
1999-05-03,0.384115,0.384115,0.372396,0.382813,0.351172,3384000
1999-05-04,0.382813,0.382813,0.354167,0.361979,0.332060,9604800
1999-05-05,0.364583,0.369792,0.343750,0.369792,0.339227,14457600
1999-05-06,0.367188,0.375000,0.351563,0.362630,0.332657,3561600
1999-05-07,0.351563,0.367188,0.351563,0.364583,0.334449,2500800
1999-05-10,0.361979,0.372396,0.361979,0.364583,0.334449,1968000
1999-05-11,0.380208,0.395833,0.372396,0.384115,0.352366,17174400
1999-05-12,0.388021,0.397135,0.382813,0.395833,0.363116,16848000
1999-05-13,0.395833,0.406250,0.394531,0.395833,0.363116,6993600
1999-05-14,0.395833,0.395833,0.369792,0.375000,0.344004,2846400
1999-05-17,0.369792,0.393229,0.368490,0.393229,0.360727,3576000
1999-05-18,0.397135,0.416667,0.385417,0.411458,0.377449,15153600
1999-05-19,0.429688,0.445313,0.386719,0.393229,0.360727,45172800
1999-05-20,0.395833,0.395833,0.347656,0.361979,0.332060,17817600
